item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
941941,SOOH 360 Bing Cherry,1901200,7.0,10.5,750
20920,Old Tub,1011500,11.0,16.5,750
100568,Bourbon County Pack,1700000,22.0,33.0,375
941467,SOOH 360 Sorrento Lemon,1901200,7.0,10.5,750
15181,WhistlePig 10YR Mini,1011600,71.91,107.87,50
84197,99 Pineapple Mini,,6.0,9.0,600
903690,Southern Comfort 100prf Mini,1901200,9.66,14.49,600
943533,Plantation Rum Old Fashioned Traditional Dark Overproof,1062100,17.5,26.25,1000
987507,1800 Silver,1901200,4.67,7.01,200
43035,Bacardi Gold PET,1062100,8.26,12.39,750
77284,Rocket Fuel,1091200,6.65,9.98,750
77054,Private First Class,1091100,12.96,19.44,750
26759,Cedar Ridge Single Malt Whiskey,1012300,7.5,11.25,200
68010,Baileys Strawberries & Cream Mini,1082100,25.25,37.88,50
969618,SOOH Dr McGillicuddys Butterscotch,1081000,8.66,12.99,750
78115,Saints ''n Sinners Mini,1091100,8.38,12.57,50
100983,1800 Silver Tequila 750ml w/ 1800 Coconut 200ml,1700000,15.46,23.19,750
5004,Glenfiddich 12YR,1012300,12.5,18.75,375
26726,Templeton Rye Maple Cask Finish Whiskey,1011600,17.5,26.25,750
87210,Banhez Mezcal,1022300,20.5,30.75,1000
26815,Green Frog Distillery Caramel Flavored Corn Whiskey,1011700,17.5,26.25,750
5842,Glenlivet 14YR,1012300,27.48,41.22,750
26770,Cedar Ridge Malted Rye,1011600,6.0,9.0,200
920376,SOOH Old Forester 1920,,29.98,44.97,750
44266,British Navy Pussers Rum,1062300,12.02,18.03,750
5037,Glenlivet 12YR,1012300,28.98,43.47,1000
965220,Jinro Chamisul Fresh Soju,1092100,2.5,3.75,375
5486,Macallan 12YR,1012300,40.01,60.02,750
43371,Appleton Signature Blend,1062100,10.5,15.75,750
973981,Di Amore Amaretto Mini,1081000,5.95,8.93,600
86839,Ole Smoky Mango Habanero Whiskey,1091300,10.0,15.0,750
965264,Jinro Soju,1901200,7.25,10.88,750
19116,Jim Beam Single Barrel,1011300,19.41,29.12,750
27048,Knob Creek Rye,1011600,20.0,30.0,750
45306,Paramount Gold 151 Rum,1062100,12.5,18.75,750
4356,Balvenie 12YR Doublewood,1012300,34.0,51.0,750
965264,SOOH Jinro Soju,1901200,7.25,10.88,750
986830,Ole Smoky Margarita Moonshine,1091300,11.0,16.5,750
926684,Foundry Whiskey Custom,1011800,7.93,11.9,750
86560,Century Farms Prairie States Corn Whiskey Rapid Aged,1091100,8.51,12.77,750
51109,Ciroc VS,1700000,17.48,26.22,1000
987209,Banhez Mezcal - use code 988511,1022300,17.09,25.64,750
902795,SOOH Old Grand Dad 114prf,1901200,13.84,20.76,750
903124,SOOH Becherovka Liqueur,1901200,10.77,16.16,750
89221,Del Maguey Mezcal Vida,1022300,19.48,29.22,750
45245,Paramount Gold Rum PET,1062100,4.0,6.0,750
903771,SOOH Fighting Cock Bourbon,1901200,8.96,13.44,750
86781,Ole Smoky Moonshine Peaches,1091300,12.5,18.75,750
926958,Old Overholt Bonded,1011600,13.5,20.25,750
902115,SOOH Famous Grouse Scotch,1901200,20.05,30.08,1750
903089,SOOH Gran Centenario Anejo,1901200,30.64,45.96,750
903353,Pravda Vodka,1901200,16.39,24.59,750
66636,Romana Sambuca Italian Liquore,1082100,13.5,20.25,750
902613,Barbancourt 3* Rhum 4YR,1901200,11.66,17.49,750
86250,Juarez Triple Sec,1081500,2.67,4.01,750
