item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
39555,Deep Eddy Lemon Mini,1031100,5.05,7.58,50
36874,Blue Ox Vodka,1031100,3.95,5.93,1000
35313,Barton Vodka,1031100,1.13,1.7,200
36591,Kinky Vodka Mini,1031100,4.95,7.43,50
37605,Red Fox Vodka,1031100,3.0,4.5,750
37642,River Pilot Vodka,1031100,8.25,12.38,750
37934,Skol Vodka,1031100,1.74,2.61,375
37986,Skyy Vodka,1031100,7.5,11.25,750
36974,Nikolai Vodka,1031100,1.71,2.57,375
36873,Blue Ox Vodka,1031100,3.3,4.95,750
36887,McCormick 80prf Vodka,1031100,4.13,6.2,1000
36989,Blue Ox Vodka PET,1031100,3.49,5.24,750
36650,Caliber Vodka,1031100,6.92,10.38,1750
38056,Swell Vodka,1031100,6.0,9.0,750
35944,Fleischmanns 80prf Vodka,1031100,1.74,2.61,375
35314,Barton Vodka,1031100,1.71,2.57,375
37413,Popov 80prf,1031100,1.75,2.63,200
37356,Phillips Vodka,1031100,3.57,5.36,750
38006,Smirnoff 80prf PET,1031100,8.25,12.38,750
37988,Skyy Vodka,1031100,15.0,22.5,1750
37987,Skyy Vodka,1031100,12.35,18.53,1000
37664,Row Vodka Mini,1031100,3.51,5.27,50
36648,Caliber Vodka,1031100,3.31,4.97,750
37103,Okoboji Vodka,1031100,10.25,15.38,750
37414,Popov 80prf,1031100,3.0,4.5,375
37606,Red Fox Vodka,1031100,3.5,5.25,1000
37131,Century Farms Open Gate Vodka,1031100,8.05,12.08,750
36874,Blue Ox Vodka,1031100,3.7,5.55,1000
38046,Swell Zone Vodka,1031100,9.44,14.16,750
36978,Nikolai Vodka,1031100,6.92,10.38,1750
37417,Popov 80prf,1031100,5.5,8.25,1000
37936,Skol Vodka,1031100,3.64,5.46,750
37418,Popov 80prf,1031100,8.5,12.75,1750
35416,Burnetts Vodka 80prf,1031100,4.5,6.75,750
936600,Kirkland Signature American Vodka,1031100,8.34,12.51,1750
36889,Barton Naturals,1031100,3.97,5.96,1000
36875,Blue Ox Vodka,1031100,6.5,9.75,1750
38581,Wisconsin Club Vodka,1031100,6.5,9.75,1750
37426,Popov 80prf PET,1031100,4.5,6.75,750
39430,Devil''s Spring Vodka,1031100,4.2,6.3,375
37338,UV Vodka PET,1031100,11.5,17.25,1750
36971,New Amsterdam 80prf,1031100,14.0,21.0,1750
36873,Blue Ox Vodka,1031100,3.2,4.8,750
37665,Row Vodka,1031100,12.22,18.33,1750
36970,New Amsterdam 80prf,1031100,7.33,11.0,1000
37663,Row Vodka,1031100,6.3,9.45,750
37125,Bagger Vodka,1031100,12.5,18.75,1000
36985,Blue Ox Vodka,1031100,1.79,2.69,375
38033,Smithworks,1031100,14.99,22.49,1750
36878,Foundry Vodka,1031100,7.93,11.9,750
35947,Fleischmanns 80prf Vodka,1031100,3.5,5.25,1000
37338,UV Vodka PET,1031100,10.99,16.49,1750
37047,Gray Duck Vodka,1031100,12.59,18.89,1000
939820,99 Raspberry Mini,1031100,6.0,9.0,600
36875,Blue Ox Vodka,1031100,6.9,10.35,1750
36976,Nikolai Vodka,1031100,3.27,4.91,750
36978,Nikolai Vodka,1031100,6.5,9.75,1750
36667,Korski Vodka,1031100,3.5,5.25,1000
36122,Deep Eddy 80prf,1031100,8.5,12.75,750
36982,New Amsterdam Gluten Free Mini,1031100,5.54,8.31,50
37346,Phillips Vodka,1031100,3.57,5.36,750
36874,Blue Ox Vodka,1031100,3.85,5.78,1000
36188,Gordons 80prf Vodka PET,1031100,9.74,14.61,1750
941310,Burnetts Coconut,1031100,4.5,6.75,750
37886,Seagrams Extra Smooth Vodka,1031100,5.38,8.07,750
37416,Popov 80prf,1031100,4.5,6.75,750
36124,Deep Eddy 80prf,1031100,14.49,21.74,1750
40118,Dueces Wild Vodka,1031100,6.81,10.22,1750
35946,Fleischmanns 80prf Vodka,1031100,3.0,4.5,750
37938,Skol Vodka,1031100,6.67,10.01,1750
39868,Smirnoff 100prf,1031100,16.0,24.0,1750
37336,UV Vodka,1031100,7.0,10.5,750
36872,Blue Ox Vodka Mini,1031100,30.0,45.0,50
36874,Blue Ox Vodka,1031100,4.0,6.0,1000
36978,Nikolai Vodka,1031100,6.48,9.72,1750
37258,Gotcha Vodka 1L,1031100,3.5,5.25,1000
37364,Phillips Vodka Mini,1031100,4.4,6.6,50
37665,Row Vodka,1031100,11.72,17.58,1750
36668,Korski Vodka,1031100,6.5,9.75,1750
36356,Heroes Vodka,1031100,10.0,15.0,1750
37048,Gray Duck Vodka,1031100,18.83,28.25,1750
36733,Grays Peak Vodka,1031100,15.0,22.5,1750
36595,Kinky Vodka,1031100,12.5,18.75,1750
37259,Gotcha Vodka 1.75L,1031100,6.5,9.75,1750
38031,Smithworks,1031100,7.49,11.24,750
37935,Skol Vodka PET,1031100,3.64,5.46,750
37020,North Forty Vodka,1031100,13.0,19.5,750
40926,Smirnoff Silver 90prf,1031100,8.25,12.38,750
36928,Conciere Vodka,1031100,5.75,8.63,1000
38507,Western Son Original,1031100,9.01,13.52,750
39866,Smirnoff 100prf,1031100,9.5,14.25,750
37217,Paramount Vodka,1031100,4.25,6.38,1000
37336,UV Vodka,1031100,6.5,9.75,750
36006,Fuzzys 80prf,1031100,12.0,18.0,750
37526,Prairie Organic Vodka,1031100,11.0,16.5,750
38073,State Vodka,1031100,7.0,10.5,750
37393,Just Another Vodka - Red,1031100,9.48,14.22,750
36186,Gordons 80prf Vodka,1031100,5.26,7.89,750
40121,Devil''s Spring Vodka,1031100,6.67,10.01,750
37215,Y-not Vodka,1031100,10.0,15.0,750
37526,Prairie Organic Vodka,1031100,10.0,15.0,750
39466,New Amsterdam 100prf,1031100,8.5,12.75,750
36447,Ingenioz,1031100,12.54,18.81,750
38169,360 Vodka,1031100,7.0,10.5,750
36709,Premium Vodka,1031100,11.0,16.5,750
36266,Grays Peak Vodka,1031100,10.0,15.0,750
37040,Ocean Organic Vodka,1031100,15.0,22.5,750
37277,Midwest Vodka,1031100,17.0,25.5,1000
37067,Mr Boston Vodka,1031100,3.97,5.96,1000
38508,Western Son Original Vodka,1031100,15.03,22.55,1750
938180,Titos Handmade Vodka Mini,1031100,64.0,96.0,50
37189,Okoboji Vodka,1031100,30.0,45.0,50
37394,Just Another Vodka - Black,1031100,9.48,14.22,750
36983,New Amsterdam Gluten Free,1031100,8.5,12.75,750
37141,Kinky Vodka,1031100,7.0,10.5,750
37640,River Baron Artisian Spirit,1031100,14.02,21.03,750
36723,Iowa Legendary Rye Vodka,1031100,15.0,22.5,750
35586,Clearheart Vodka,1031100,12.3,18.45,750
38494,Waving Plains Vodka,1031100,6.5,9.75,750
36258,Dehner Distillery Vodka,1031100,5.0,7.5,750
36690,Caliber Vodka,1031100,2.11,3.17,375
36354,Heroes Vodka,1031100,6.66,9.99,750
37381,Novaterra Organic Vodka,1031100,8.51,12.77,750
937641,River Pilot Vodka Mini,1031100,10.0,15.0,50
36983,New Amsterdam Gluten Free,1031100,7.5,11.25,750
34004,Absolut Swedish Vodka 80prf,1032100,4.99,7.49,375
34422,Grey Goose,1032100,22.75,34.13,1000
34003,Absolut Swedish Vodka 80prf,1032100,2.99,4.49,200
34368,Fris Danish Vodka,1032100,8.49,12.74,1750
34454,Ketel One,1032100,5.99,8.99,375
34001,Absolut Swedish Vodka 80prf Mini,1032100,7.92,11.88,50
34162,Belvedere Pure Vodka,1032100,20.62,30.93,1000
34423,Grey Goose,1032100,9.25,13.88,375
34821,Svedka 80prf,1032100,13.5,20.25,1750
34007,Absolut Swedish Vodka 80prf,1032100,12.49,18.74,1000
34456,Ketel One,1032100,12.5,18.75,750
34008,Absolut Swedish Vodka 80prf,1032100,19.99,29.99,1750
34359,Grey Goose,1032100,4.67,7.01,200
34007,Absolut Swedish Vodka 80prf,1032100,14.99,22.49,1000
34164,Ciroc 80prf,1032100,5.0,7.5,200
34197,Ciroc 80prf,1032100,9.25,13.88,375
34006,Absolut Swedish Vodka 80prf,1032100,9.99,14.99,750
34425,Grey Goose,1032100,35.42,53.13,1750
34753,Reyka Vodka,1032100,10.97,16.46,750
34759,Reyka Vodka,1032100,18.5,27.75,1750
34820,Svedka 80prf,1032100,8.25,12.38,750
34366,Fris Danish Vodka,1032100,4.99,7.49,750
34578,Pinnacle,1032100,10.0,15.0,1750
34433,Grey Goose,1032100,18.49,27.74,750
36964,Grey Goose Mini,1032100,20.0,30.0,50
34747,Stolichnaya 80prf,1032100,15.97,23.96,1000
34578,Pinnacle,1032100,12.59,18.89,1750
34457,Ketel One,1032100,16.5,24.75,1000
36482,Svedka 80prf,1032100,5.0,7.5,375
34746,Stolichnaya 80prf,1032100,9.99,14.99,750
34458,Ketel One,1032100,22.0,33.0,1750
34155,Belvedere Pure Vodka,1032100,17.15,25.73,750
36871,Ciroc 80prf,1032100,16.49,24.74,750
35213,Sobieski,1032100,10.99,16.49,1750
34458,Ketel One,1032100,20.66,30.99,1750
34566,Pearl 80prf PET,1032100,10.0,15.0,1750
34188,Effen 80prf,1032100,12.5,18.75,750
34154,Belvedere Pure 375ml,1032100,7.49,11.24,375
34457,Ketel One,1032100,15.16,22.74,1000
36870,Ciroc 80prf,1032100,22.75,34.13,1000
37273,E.T.51 Premium Vodka Mini,1032100,114.24,171.36,50
34155,Belvedere Pure Vodka,1032100,14.99,22.49,750
934678,SOOH Quadro Vodka,1032100,12.5,18.75,750
34819,Svedka 80prf,1032100,8.0,12.0,1000
34546,Pearl 80prf,1032100,7.0,10.5,750
34919,Three Olives 80prf,1032100,16.0,24.0,1750
34579,Pinnacle,1032100,7.35,11.03,750
34748,Stolichnaya 80prf,1032100,19.99,29.99,1750
934598,Luksusowa Vodka,1032100,13.17,19.76,1750
35427,Russian Standard Platinum Vodka,1032100,12.5,18.75,750
35109,Russian Standard Original Vodka,1032100,9.43,14.15,750
34856,Tanqueray Sterling Vodka,1032100,7.0,10.5,750
34244,Chopin Vodka,1032100,14.84,22.26,750
34690,Sobieski,1032100,6.5,9.75,750
35435,Svedka 80prf PET,1032100,8.25,12.38,750
34244,Chopin Vodka,1032100,15.83,23.75,750
34935,Three Olives 80prf,1032100,9.96,14.94,750
34456,Ketel One,1032100,11.33,17.0,750
34122,Crystal Head Vodka,1032100,23.32,34.98,750
36390,Crystal Head Aurora Vodka,1032100,29.99,44.99,750
34122,Crystal Head Vodka,1032100,24.99,37.49,750
37069,Drakes Organic Vodka,1032100,9.0,13.5,750
34244,Chopin Vodka,1032100,14.0,21.0,750
34729,Stolichnaya Elit,1032100,24.99,37.49,750
36697,Belvedere Smogory,1032100,17.49,26.24,750
34579,Pinnacle,1032100,6.5,9.75,750
36986,E.T. 51 Premium Vodka,1032100,14.59,21.89,750
36694,Belvedere Bartezek,1032100,17.49,26.24,750
37240,Crystal Head  Pride Bottle Vodka,1032100,26.0,39.0,750
36924,Haku Vodka,1032100,15.0,22.5,750
5347,Johnnie Walker Red,1012200,17.1,25.65,1000
5289,J & B Rare Scotch,1012200,14.98,22.47,1000
5327,Johnnie Walker Black,1012200,27.74,41.61,1000
4868,Dewars White Label Scotch,1012200,26.5,39.75,1750
5349,Johnnie Walker Red,1012200,26.5,39.75,1750
4936,Famous Grouse Scotch,1012200,12.03,18.05,750
5346,Johnnie Walker Red,1012200,13.5,20.25,750
8828,Lauders,1012200,11.18,16.77,1750
8827,Lauders,1012200,6.14,9.21,1000
4867,Dewars White Label Scotch,1012200,17.5,26.25,1000
100612,Johnnie Walker Mini Discovery Pack,1012200,21.5,32.25,50
5325,Johnnie Walker Black,1012200,11.5,17.25,375
5345,Johnnie Walker Red,1012200,8.0,12.0,375
6998,Clan Macgregor Scotch,1012200,11.25,16.88,1750
10009,Scoresby Rare Scotch,1012200,6.74,10.11,1000
100572,Johnnie Walker 200ml Collection Pack,1012200,62.5,93.75,800
900138,Members Mark Scotch,1012200,11.3,16.95,1750
10008,Scoresby Rare Scotch,1012200,10.5,15.75,1750
6997,Clan Macgregor Scotch,1012200,6.66,9.99,1000
4626,Buchanan Deluxe 12YR,1012200,20.99,31.49,750
4717,Chivas Regal 12YR,1012200,25.98,38.97,1000
9278,Old Smuggler Scotch PET,1012200,11.84,17.76,1750
4717,Chivas Regal 12YR,1012200,26.48,39.72,1000
8828,Lauders,1012200,10.0,15.0,1750
4861,Dewars White Label Mini,1012200,12.5,18.75,50
10278,Ushers Green Stripe,1012200,10.0,15.0,1750
5329,Johnnie Walker Blue,1012200,130.0,195.0,750
4624,Buchanan Deluxe 12YR,1012200,12.49,18.74,375
9278,Old Smuggler Scotch PET,1012200,12.0,18.0,1750
6076,The Singleton 12YR,1012200,23.49,35.24,750
9432,Passport Scotch,1012200,12.49,18.74,1750
4718,Chivas Regal 12YR,1012200,36.83,55.25,1750
5288,J & B Rare Scotch,1012200,22.5,33.75,1750
4866,Dewars White Label Scotch,1012200,13.5,20.25,750
4798,Cutty Sark Scotch,1012200,20.05,30.08,1750
8208,House of Stuart,1012200,10.52,15.78,1750
5008,Glenfiddich 12YR Special Reserve,1012200,45.0,67.5,1750
5635,Monkey Shoulder,1012200,19.0,28.5,750
4616,Buchanan Special Reserve 18YR,1012200,39.59,59.39,750
6052,Shackleton,1012200,17.5,26.25,750
5106,Grants Blended Scotch,1012200,10.5,15.75,750
5326,Johnnie Walker Black,1012200,21.49,32.24,750
5159,Glenfiddich 14YR,1012200,29.0,43.5,750
4796,Cutty Sark Scotch,1012200,10.02,15.03,750
5290,J & B Rare Scotch,1012200,12.25,18.38,750
8826,Lauders,1012200,4.8,7.2,750
4716,Chivas Regal 12YR,1012200,19.49,29.24,750
4993,Glenfarclas 12YR,1012200,26.56,39.84,750
8826,Lauders,1012200,5.13,7.7,750
4876,Dewars 12YR,1012200,20.0,30.0,750
8825,Lauders PET,1012200,5.13,7.7,750
10006,Scoresby Rare Scotch,1012200,5.13,7.7,750
5318,Johnnie Walker Double Black,1012200,24.05,36.08,750
4959,Glen Moray,1012200,24.84,37.26,750
5242,Johnnie Walker 18YR,1012200,54.99,82.49,750
5633,Lagavulin 8YR,1012200,37.5,56.25,750
5350,Johnnie Walker Green,1012200,32.49,48.74,750
4381,Balvenie 21YR Portwood,1012200,128.5,192.75,750
5702,Oban 18YR,1012200,78.49,117.74,750
905865,SOOH Game of Thrones House Targaryen - Cardhu Gold Reserve,1012200,25.99,38.99,750
5747,Johnnie Walker White Walker,1012200,23.5,35.25,750
905863,SOOH Game of Thrones House Lannister - Lagavulin,1012200,42.49,63.74,750
905868,SOOH Game of Thrones The Nights Watch - Oban,1012200,38.99,58.49,750
4590,Dewars Caribbean Smooth,1012200,12.5,18.75,750
4610,Buchanan Red Seal,1012200,84.5,126.75,750
5002,Glenfiddich 21YR,1012200,117.52,176.28,750
905655,HA Glen Grant 15YR,1012200,41.0,61.5,750
4989,Glenfarclas 10YR,1012200,24.0,36.0,750
4592,Dewar''s Mezcal 8 YR,1012200,12.5,18.75,750
5702,Oban 18YR,1012200,64.99,97.49,750
5921,Game of Thrones Six Kingdoms - Mortlach 15 Year,1012200,74.99,112.49,750
905655,HA Glen Grant 15YR,1012200,40.0,60.0,750
5633,Lagavulin 8YR,1012200,35.0,52.5,750
994797,Cutty Sark Scotch,1012200,13.03,19.55,1000
5753,Johnnie Walker Blue Mini,1012200,60.0,90.0,50
6024,Scots Gold Blended Scotch Whisky Black Label,1012200,10.53,15.8,750
5443,Laphroaig Triple Wood,1012200,39.37,59.06,750
8826,Lauders,1012200,4.64,6.96,750
905734,Glenrothes 12YR,1012200,24.89,37.34,750
994682,Bruichladdich PC Islay Barley 2011,1012200,39.97,59.96,750
994553,Bunnahabhain 12YR,1012200,34.47,51.71,750
8825,Lauders PET,1012200,4.8,7.2,750
6029,Scots Gold Blended Scotch Whisky Red Label,1012200,9.71,14.57,750
6076,The Singleton 12YR,1012200,20.0,30.0,750
6032,Scots Gold Blended Scotch Whisky 8YR,1012200,14.81,22.22,750
905231,HA Glenfiddich India Pale Ale Cask,1012200,35.0,52.5,750
64858,Fireball Cinnamon Whiskey Mini Dispenser,1081600,30.0,45.0,50
64868,Fireball Cinnamon Whiskey,1081600,15.33,23.0,1750
64863,Fireball Cinnamon Whiskey,1081600,2.5,3.75,200
100413,Fireball Cinnamon Whiskey Party Bucket,1081600,60.0,90.0,50
64864,Fireball Cinnamon Whisky,1081600,5.33,8.0,375
64865,Fireball Cinnamon Whiskey PET,1081600,8.98,13.47,750
64870,Fireball Cinnamon Whiskey,1081600,0.9,1.35,100
65013,Fireball Cinnamon Whiskey 50ml Sleeve,1081600,5.0,7.5,50
64866,Fireball Cinnamon Whiskey,1081600,9.0,13.5,750
64904,Fireball Cinnamon Whiskey PET,1081600,15.33,23.0,1750
86884,Southern Comfort,1081600,4.78,7.17,375
86881,Southern Comfort Mini,1081600,5.65,8.48,50
86888,Southern Comfort PET,1081600,20.26,30.39,1750
100423,Fireball Cinnamon Whiskey 100ml Carrier,1081600,6.0,9.0,100
64867,Fireball Cinnamon Whiskey,1081600,11.34,17.01,1000
86796,Southern Host Whiskey Liqueur,1081600,5.37,8.06,750
101046,Fireball Party Cooler,1081600,10.0,15.0,50
86885,Southern Comfort PET,1081600,10.33,15.5,750
86883,Southern Comfort,1081600,2.64,3.96,200
67267,Yukon Jack,1081600,11.75,17.63,1000
27453,Cinerator Mini,1081600,6.38,9.57,50
101047,Fireball Party Cooler,1081600,12.0,18.0,100
67264,Yukon Jack,1081600,5.25,7.88,375
86887,Southern Comfort,1081600,12.97,19.46,1000
100015,Fireball Cinnamon Whiskey Bag in Box,1081600,30.0,45.0,3500
86564,Blue Ox Cinnamon Whiskey,1081600,6.0,9.0,1000
78016,Wild Turkey American Honey,1081600,2.5,3.75,200
86886,Southern Comfort,1081600,10.33,15.5,750
27454,Cinerator,1081600,8.0,12.0,750
986707,Jeremiah Weed Sarsparilla Whiskey,1081600,9.65,14.48,750
64892,Dubliner Honeycomb Liqueur,1081600,15.0,22.5,750
86562,Blue Ox Cinnamon Whiskey Mini,1081600,30.0,45.0,50
86821,Old Camp Peach Pecan Whiskey,1081600,10.83,16.25,750
86565,Blue Ox Cinnamon Whiskey,1081600,9.0,13.5,1750
86916,Southern Comfort 100prf,1081600,12.15,18.23,750
86666,Jeremiah Weed 100prf Bourbon Liqueur,1081600,6.43,9.65,750
77472,Sweet Revenge,1081600,10.98,16.47,750
67266,Yukon Jack,1081600,9.25,13.88,750
66213,Piehole Pecan Pie,1081600,7.49,11.24,750
85796,Mr Boston Rock & Rye,1081600,4.93,7.4,750
74740,Slow and Low,1081600,12.17,18.26,750
11371,Serpents Bite Apple Cider,1081600,9.15,13.73,750
74740,Slow and Low,1081600,13.17,19.76,750
26563,PB&W,1081600,17.5,26.25,750
74740,Slow and Low,1081600,11.84,17.76,750
86563,Blue Ox Cinnamon Whiskey,1081600,5.0,7.5,750
80343,Nooku Bourbon Cream,1081600,16.5,24.75,750
23828,Five Star,1011100,7.62,11.43,1750
27629,Prairie Fire,1011100,9.09,13.64,750
23626,Five Star PET,1011100,3.5,5.25,750
87026,Skrewball Peanut Butter Whiskey,1011100,18.5,27.75,750
25603,Seagrams 7 Crown,1011100,1.99,2.99,200
25607,Seagrams 7 Crown,1011100,8.0,12.0,1000
24156,Hawkeye Blended Whiskey,1011100,3.5,5.25,750
27632,Cedar Ridge Shorts Whiskey,1011100,13.83,20.75,750
27692,Bird Dog Apple Mini,1011100,6.0,9.0,50
25604,Seagrams 7 Crown,1011100,3.5,5.25,375
22783,Beams 8 Star Bl Whiskey,1011100,1.31,1.97,200
23823,Five Star,1011100,1.31,1.97,200
27469,Bird Dog Blackberry Mini,1011100,5.8,8.7,50
24457,Kessler Blend Whiskey,1011100,7.17,10.76,1000
27680,Jim Beam Kentucky Fire Mini,1011100,5.4,8.1,50
23277,Calvert Extra Blended Whiskey,1011100,6.88,10.32,1000
27544,Red Stag Black Cherry,1011100,10.5,15.75,750
25480,Red Fox Blended Whiskey,1011100,3.5,5.25,750
27782,Jim Beam Apple,1011100,5.5,8.25,375
24453,Kessler Blend Whiskey,1011100,1.83,2.75,200
24451,Kessler Blend Whiskey Mini,1011100,5.4,8.1,50
27723,Jim Beam Honey,1011100,1.25,1.88,100
22784,Beams 8 Star Bl Whiskey,1011100,2.09,3.14,375
15982,Toki Suntory Japanese Whisky,1011100,20.99,31.49,750
25877,Sunny Brook Blend Whiskey,1011100,5.0,7.5,1000
24454,Kessler Blend Whiskey,1011100,3.15,4.73,375
23827,Five Star,1011100,4.4,6.6,1000
25608,Seagrams 7 Crown,1011100,12.96,19.44,1750
28081,Prairie Fire Mini,1011100,11.9,17.85,50
23824,Five Star,1011100,2.09,3.14,375
27428,Bird Dog Peach Mini,1011100,5.8,8.7,50
27913,Bird Dog Strawberry Mini,1011100,5.8,8.7,50
23708,Fleischmanns Whiskey,1011100,7.33,11.0,1750
24458,Kessler Blend Whiskey,1011100,11.0,16.5,1750
22788,Beams 8 Star Bl Whiskey,1011100,8.0,12.0,1750
25601,Seagrams 7 Crown Mini,1011100,6.17,9.26,50
86558,Sheep Dog Peanut Butter Mini,1011100,6.0,9.0,50
23826,Five Star,1011100,3.5,5.25,750
25606,Seagrams 7 Crown,1011100,7.5,11.25,750
26763,Bird Dog Black Cherry Mini,1011100,5.8,8.7,50
24706,Mccormick Blend Whiskey,1011100,4.09,6.14,750
87035,Skrewball Peanut Butter Flavored Whiskey,1011100,14.0,21.0,50
22787,Beams 8 Star Bl Whiskey,1011100,4.69,7.04,1000
26712,Slipknot Iowa Whiskey #9 Reserve,1011100,39.5,59.25,750
27746,Bird Dog Peach,1011100,17.33,26.0,1750
24728,Mccormick Blend Whiskey PET,1011100,8.2,12.3,1750
22786,Beams 8 Star Bl Whiskey,1011100,4.0,6.0,750
27433,Bird Dog Peach,1011100,10.0,15.0,750
27554,Seagrams 7 Crown Dark Honey,1011100,7.0,10.5,750
23278,Calvert Extra Blended Whiskey,1011100,11.02,16.53,1750
26851,Blue Ox American Spirit Whiskey,1011100,5.5,8.25,1000
24158,Hawkeye Blended Whiskey,1011100,7.62,11.43,1750
25616,Seagrams 7 Crown PET Flask,1011100,7.5,11.25,750
24648,Madison Creek,1011100,7.34,11.01,1750
24466,Kessler Blend Whiskey PET,1011100,5.51,8.27,750
24157,Hawkeye Blended Whiskey,1011100,4.39,6.59,1000
23277,Calvert Extra Bl Whiskey,1011100,6.88,10.32,1000
25878,Sunny Brook Blend Whiskey,1011100,8.0,12.0,1750
27920,Bird Dog Strawberry,1011100,10.0,15.0,750
25481,Red Fox Blended Whiskey,1011100,4.39,6.59,1000
26710,Slipknot Iowa Whiskey No. 9,1011100,19.5,29.25,750
27682,Jim Beam Kentucky Fire,1011100,10.5,15.75,750
87073,Skrewball Peanut Butter Whiskey,1011100,5.0,7.5,200
87075,Skrewball Peanut Butter Whiskey,1011100,9.0,13.5,375
26758,Blue Ox American Spirit Whiskey,1011100,9.5,14.25,1750
27417,Bird Dog Maple,1011100,10.0,15.0,750
27884,Tin Cup,1011100,25.0,37.5,1750
26265,Foundry Five Grain Whiskey,1011100,19.99,29.99,750
27474,Bird Dog Blackberry,1011100,10.0,15.0,750
15832,Proper Number Twelve,1011100,23.36,35.04,1750
25482,Red Fox Blended Whiskey,1011100,7.33,11.0,1750
23278,Calvert Extra Bl Whiskey,1011100,11.02,16.53,1750
27741,Bird Dog Blackberry,1011100,17.33,26.0,1750
5844,Monkey Shoulder,1011100,35.0,52.5,1750
24456,Kessler Blend Whiskey,1011100,5.51,8.27,750
17215,Hatozaki Small Batch Japanese Whisky,1011100,34.76,52.14,750
27605,Tin Cup,1011100,13.75,20.63,750
27697,Bird Dog Apple,1011100,10.0,15.0,750
86559,Sheep Dog Peanut Butter,1011100,8.5,12.75,750
26765,Bird Dog Black Cherry,1011100,10.0,15.0,750
27751,Seagrams 7 Crown Orchard Apple,1011100,7.0,10.5,750
67273,Yukon Jack Jacapple,1011100,9.25,13.88,750
16120,The Shinobu Blended Whisky,1011100,28.0,42.0,750
27289,Iowish Whiskey,1011100,19.17,28.76,750
927079,SOOH Redemption Rye Whiskey,1011100,13.9,20.85,750
27523,High West Campfire,1011100,37.5,56.25,750
27464,Cedar Ridge Wheat Whiskey,1011100,18.67,28.01,750
217215,Hatozaki Small Batch Japanese Whisky,1011100,34.76,52.14,750
87058,Cody Road Experimental Tequila Barrel Finish,1011100,18.0,27.0,750
26842,Bird Dog Blackberry PET,1011100,10.0,15.0,750
15192,WhistlePig HomeStock,1011100,36.5,54.75,750
27323,Two Jay's Country Style Blended Why.,1011100,15.59,23.39,750
28222,Revel Stoke Hot Stuff,1011100,7.15,10.73,750
26871,Riegers Kansas City Whiskey,1011100,19.27,28.91,750
927707,SOOH Bird Dog Chocolate,1011100,10.0,15.0,750
27318,Two Jay's Iowa Corn Whiskey,1011100,13.87,20.81,750
27237,Driftless Glen Bourbon,1011100,20.0,30.0,750
26988,Driftless Glen Rye Whiskey,1011100,20.0,30.0,750
28131,Cody Road Honey,1011100,16.0,24.0,750
926618,HA Michters Toasted Barrel Finish Sour Mash Whiskey,1011100,28.42,42.63,750
23536,Old Elk Blended Straight Bourbon,1011100,25.0,37.5,750
26844,Bird Dog Peach PET,1011100,10.0,15.0,750
26714,Obtainium Light Whiskey,1011100,28.85,43.28,750
25032,Mr. Boston Blended Whiskey,1011100,4.4,6.6,1000
26777,Blue Ox American Spirit Whiskey Mini,1011100,30.0,45.0,50
26757,Blue Ox American Spirit Whiskey,1011100,5.0,7.5,750
16026,Hatozaki Finest Japanese Whisky,1011100,23.15,34.73,750
28132,Cody Road Maple,1011100,16.0,24.0,750
26261,Foundry Bourbon,1011100,19.99,29.99,750
24856,Nefarious Blended Whiskey,1011100,15.0,22.5,750
25866,Stone Breaker,1011100,22.5,33.75,750
905198,Great King St. Glasgow,1011100,22.4,33.6,750
918788,IW Harper,1011100,14.99,22.49,750
928193,The Burning Chair Bourbon,1011100,35.0,52.5,750
927898,SOOH Bird Dog Ruby Red Grapefruit,1011100,10.0,15.0,750
56196,Paul Masson Peach Grande Amber Brandy,1051100,6.41,9.62,750
54057,Arrow Apricot Brandy,1051100,6.38,9.57,1000
55084,Paramount Blackberry Brandy,1051100,3.55,5.33,375
52594,E & J VS,1051100,3.5,5.25,375
52312,Christian Bros Brandy,1051100,1.99,2.99,200
52319,Christian Bros Brandy Round,1051100,7.13,10.7,1000
52199,Paul Masson Grande Amber Brandy VS,1051100,1.0,1.5,100
53213,Paul Masson Grande Amber Brandy VS,1051100,1.96,2.94,200
52581,E & J VSOP,1051100,3.75,5.63,375
52593,E & J VS,1051100,2.0,3.0,200
56193,Paul Masson Peach Grande Amber Brandy,1051100,1.96,2.94,200
55087,Paramount Blackberry Brandy,1051100,6.53,9.8,1000
53214,Paul Masson Grande Amber Brandy VS,1051100,3.22,4.83,375
53216,Paul Masson Grande Amber Brandy VS,1051100,6.41,9.62,750
53218,Paul Masson Grande Amber Brandy VS,1051100,12.82,19.23,1750
52590,E & J VS,1051100,1.24,1.86,100
52597,E & J VS Square,1051100,7.24,10.86,1000
52599,E & J VS Round,1051100,7.24,10.86,1000
55066,Mr Boston Blackberry Brandy,1051100,4.5,6.75,750
53211,Paul Masson Grande Amber Brandy VS Mini,1051100,7.12,10.68,50
54447,Paramount Apricot Brandy,1051100,6.53,9.8,1000
52314,Christian Bros Brandy,1051100,3.25,4.88,375
52580,E & J VSOP,1051100,2.5,3.75,200
56195,Paul Masson Peach Grande Amber Brandy,1051100,3.22,4.83,375
52591,E & J VS Mini,1051100,5.54,8.31,50
53920,Two Jay's Grappa,1051100,8.45,12.68,375
52562,E & J XO,1051100,4.5,6.75,375
54444,Paramount Apricot Brandy,1051100,3.55,5.33,375
