store_number,store_name,store_location,address,city
5673,Casey's General Store #2821 / Gladbrook,POINT (-92.718164 42.181324),201 8th St,Gladbrook
5759,Casey's General Store #42 / Wellman,POINT (-91.836968 41.467439),700 6th St,Wellman
4716,Walgreens #11153 / Spencer,POINT (-95.144927 43.146081),800 Grand Ave,Spencer
4781,Casey's General Store #3079 / Early,POINT (-95.14799 42.467201),"2245, Us Hwy 71",Early
4578,Casey's General Store #2592 / Farmington,POINT (-91.740069 40.639743),201 S 4th St,Farmington
5755,Casey's General Store #0007 / Ottumwa,POINT (-92.401498 41.010627),1001 E Main St,Ottumwa
2689,Hy-Vee C-Strore - Douglas,POINT (-93.736825 41.629429),8607 Douglas Ave,Urbandale
4556,Casey's General Store #2552 / Goldfield,POINT (-93.917008 42.731594),319 E Hwy 3,Goldfield
5829,Casey's General Store #3858 - Iowa City,POINT (-91.482149 41.657452),370 Scott Court,Iowa City
4608,Casey's General Store #3050 / Council Bluffs,POINT (-95.85248 41.23931),"510, 23rd Ave",Council Bluffs
4711,Walgreens #06154 / Dubuque,POINT (-90.720519 42.511486),2260 John F Kennedy Rd,Dubuque
5552,Casey's General Store #2905 / Ames,POINT (-93.644948 42.056689),3612 Stange Rd,Ames
5234,Casey's General Store #3473 / Dubuqu,POINT (-90.708156 42.478563),"1072, Cedar Cross Rd",Dubuque
5835,Casey's General Store #55 / Marcus,POINT (-95.799712 42.810144),4801 Hwy 143,Marcus
5558,Casey's General Store #1280 / Fort Dodge,POINT (-94.167864 42.49188),1133 S 22nd St,Fort Dodge
4985,Casey's General Store #2519 / Merrill,POINT (-96.247914 42.71706),101 First St,Merrill
4493,Casey's General Store #2850 / Cedar Rapids,POINT (-91.637306 41.922505),5655 C St SW,Cedar Rapids
5799,Casey's General Store #2472 / Nichols,POINT (-91.303838 41.48109300000001),1334 Hwy 22,Nichols
4520,Casey's General Store #2842 / Huxley,POINT (-93.607648 41.901604),902 N Hwy 69,Huxley
5711,Casey's General Store #2864/Evansdale,POINT (-92.297763 42.463655),1038 River Forest Road,Evansdale
5256,Casey's General Store # 1331/ Sac City,POINT (-94.999958 42.422724),1304 Main St W,Sac City
5241,BP  /  Dubuque,POINT (-90.687255 42.500724),"1450, Loras Blvd",Dubuque
4791,Walgreens #05470 / Sioux City,POINT (-96.347085 42.470416),4650 Morningside Ave,Sioux City
5798,Casey's General Store #3528 / Washington,POINT (-91.670346 41.298152),1730 E Washington St,Washington
4825,Casey's General Store #3212 / Osceola,POINT (-93.765708 41.030603),100 W McLANE ST,Osceola
5751,Casey's General Store #2346 / Burlington,POINT (-91.117485 40.780118),2630 Summer St,Burlington
5789,Casey's General Store #2512 / Hills,POINT (-91.541098 41.55423),310 W Main St,Hills
5929,D&T's / Odebolt,POINT (-95.47084400000001 42.345702),417 1st St,Odebolt
5445,Casey's General Store # 2781/ Iowa City,POINT (-91.560844 41.64148000000001),1410 Willow Creek Dr.,Iowa City
5286,Sauce,,"108, College",Iowa City
4782,Casey's General Store #2529 / Lamoni,POINT (-93.92909 40.62366),406 E Main St,Lamoni
5827,Casey's General Store #2636 / Keokuk,POINT (-91.410349 40.422672),3530 Main St,Keokuk
5788,Casey's General Store #1277 / Fort Dodge,POINT (-94.207468 42.487942),1320 A St,Fort Dodge
4490,Casey's General Store #2766 / Cedar Rapids,POINT (-91.67222100000001 41.944954),380 33rd Ave SW,Cedar Rapids
5040,Wilton Express,POINT (-91.034817 41.589962),1300 Nicolaus St,Wilton
5376,Casey's General Store # 2687/ Hawarden,POINT (-96.48809400000002 42.997039),1001 Ave E,Hawarden
5824,Casey's General Store #1695 / Solon,POINT (-91.492953 41.806076),203 S Market St,Solon
5628,Super Convenience Store,POINT (-95.88406 41.25979300000001),2547 2nd Ave,Council Bluffs
5758,Casey's General Store #51 / Humboldt,POINT (-94.227051 42.73129800000001),907 13th St N,Humboldt
5200,Otter Creek Country Store,,"3445, County Home Rd",Robins
4770,Casey's General Store #3080 / Hudson,POINT (-92.44941200000001 42.409554),"354, E Eldora Rd",Hudson
5408,Casey's General Store # 1441/ Marshalltown,POINT (-92.893431 42.031757),1402 S 12th Ave,Marshalltown
5547,Casey's General Store #3024 / Mediapolis,POINT (-91.170014 41.006794),208 Wapello St,Mediapolis
2707,Hy-Vee Fast and Fresh - Urbandale,POINT (-93.755433 41.62945),9915 Douglas Ave,Urbandale
5100,Sam's Food,POINT (-90.590879 41.526469),648 N  Marquette St,Davenport
4808,CB Quick Stop / Council Bluffs,POINT (-95.90271 41.26282),"3500, Ave A",Council Bluffs
5965,Casey's General Store #1499 / Chariton,POINT (-93.30346300000001 41.010221),418 S. 7th St,Chariton
5776,Casey's General Store #2890 / West Liberty,POINT (-91.266302 41.583271),402 W 15th St,West Liberty
4821,Casey's General Store #3215 / Oskaloosa,POINT (-92.645075 41.287632),901 S Market St,Oskaloosa
2838,CVS Pharmacy #8658 / Davenport,POINT (-90.600088 41.559969),1655 W Kimberly Rd,Davenport
5621,Sun Mart,POINT (-90.619947 41.538161),2920 W Locust St,Davenport
4573,Casey's General Store #1330 / Hamburg,POINT (-95.654604 40.605217),1211 Washington St,Hamburg
4130,"Boyd Grocery, Inc.",,20611 Hwy 1 N,Keosauqua
5738,Casey's General Store #3291,POINT (-91.525344 42.274821),5110 HWY 13 North,Coggon
4077,Xo Food And Liquor,POINT (-92.33464100000002 42.501602),428 Franklin St,Waterloo
5627,Casey's General Store #2275 / Sioux City,POINT (-96.467468 42.496756),1000 Riverside Blvd,Sioux City
4119,Target Store T-2526 / Cedar Falls,POINT (-92.443134 42.480862),214 VIKING PLAZA DR,Cedar Falls
5590,Casey's General Store #1941 / Ankeny,POINT (-93.581993 41.702885),1010 SE Oralabor Rd,Ankeny
2854,CVS / Pharmacy #10480 / Urbandale,POINT (-93.814927 41.614948),14201 Hickman Rd,Urbandale
5598,Liquor Tobacco & Grocery,POINT (-90.668277 42.511477),1998 Jackson St,Dubuque
5877,Casey's General Store #1659 / Ankeny,POINT (-93.600376 41.729341),302 S Ankeny Blvd,Ankeny
4531,Casey's General Store #2626 / Afton,POINT (-94.197613 41.031441),501 N Douglas St,Afton
4759,Walgreens #10855 / Waterloo,POINT (-92.337563 42.527132),1850 Logan Ave,Waterloo
2696,Hy-Vee C-Store / SE Army Post,POINT (-93.601141 41.526277),1113 SE Army Post Rd,Des Moines
5963,Casey's General Store #1798 / Forest City,POINT (-93.63303 43.263043),106 Hwy 69 S,Forest City
5768,Casey's General Store #1886 / Ottumwa,POINT (-92.429217 40.994753),504 W Mary St,Ottumwa
4585,Casey's General Store #2561 / Farley,POINT (-91.006139 42.439552),"306, 1st St SW",Farley
4555,Casey's General Store #2614 / Donnellson,POINT (-91.560169 40.639013),201 Madison Ave,Donnellson
5035,Casey's General Store #3205 / Counci,POINT (-95.80565800000001 41.23210900000001),19900 Virginia Hills Rd,Council Bluffs
5762,Casey's General Store #1329 / Estherville,POINT (-94.843561 43.401909),8 Central Ave,Estherville
5114,Casey's General Store #2612 / Missou,POINT (-95.894321 41.55643100000001),"106, E  Erie St",Missouri Valley
2706,Hy-vee Fast and Fresh / Johnston,POINT (-93.69753300000002 41.654161),5169 Merle Hay Rd,Johnston
5515,Fine Liquor & Tobacco,POINT (-92.433211 41.008378),821 Albia Rd Ste B,Ottumwa
4419,Kum & Go #4 / Lamoni,POINT (-93.896764 40.623618),2091 E Main St,Lamoni
5406,Casey's General Store # 2918/ Coralville,POINT (-91.610515 41.695834),2798 Commerce Dr.,Coralville
4513,Casey's General Store #1144 / Polk City,POINT (-93.717068 41.764009),1100 S 3rd St,Polk City
3957,Karl's Grocery Store,POINT (-91.401487 42.645390000000006),101 West Madison,Edgewood
5986,Casey's General Store #2366 / Oskaloosa,POINT (-92.623028 41.287177),1809 9th Ave E,Oskaloosa
5879,Hometown Foods - Conrad,POINT (-92.874589 42.225148),119 N Main St,Conrad
5687,Casey's General Store #3756 / Cedar Rapids,POINT (-91.729434 41.963815000000004),4560 16th Ave SW,Cedar Rapids
5571,Casey's General Store #2782 / Cedar Rapids,POINT (-91.65788 42.035276),1495 Blairs Ferry Rd NE,Cedar Rapids
5355,Casey's General Store # 3523/ Eldridge,POINT (-90.549067 41.695339),26701 Scott Park Rd.,Eldridge
4948,Wheatland Day Break,POINT (-90.841518 41.82906),102 W Hwy 30,Wheatland
4623,Casey's General Store #1493 / Van Meter,POINT (-93.951253 41.533177),700 Debra Dr,Van Meter
5612,Casey's General Store #66 / LaPorte City,POINT (-92.196459 42.319133),402 Hwy 218 N,La Porte City
4507,Casey's General Store #2902 / Spencer,POINT (-95.14471 43.14184000000001),411 W 18th,Spencer
4645,Kwik Shop #589 / Eldridge,POINT (-90.548679 41.694958),"1, Grove Rd",Eldridge
5737,Super Stop & Shop / Baldwin,POINT (-90.834314 42.073361),5358 Hwy 64,Baldwin
5690,Dyno's #42 / Sac City,POINT (-94.986598 42.421866),210 W Main St,Sac City
2677,Hy-Vee Fast & Fresh Express / Centerville,POINT (-92.867967 40.737617),607 N 18th St,Centerville
4735,Walgreens #01301 / Ottumwa,POINT (-92.413688 41.021787),327 W 4th St,Ottumwa
5883,Kimmes Humboldt Country Store #14,POINT (-94.181182 42.510582),411 13th St,Humboldt
4644,Kwik Shop #588 / Davenport,POINT (-90.55865800000001 41.538288),"1136, E Locust St",Davenport
3845,Otho Convenience and Food,POINT (-94.150427 42.422303),210 North Hwy,Otho
2851,CVS / Pharmacy #10282 / Fort Dodge,POINT (-94.170324 42.501169),2029 5th Ave South,Fort Dodge
5400,Waspy's Truck Stop,,703 South Rye Ave Ste A,Templeton
5675,10th Hole Inn & Suite / Gift Shop,POINT (-92.547769 43.36388),402 E Main St STE A,Riceville
4728,Walgreens #05077 / Iowa City,POINT (-91.502717 41.64953800000001),2214 Muscatine Ave,Iowa City
5745,Casey's General Store #3292,POINT (-91.890216 42.451427),1906 3rd Ave Se,Independence
5502,Casey's General Store #3566 / Pella,POINT (-92.916517 41.403486),509 Main St,Pella
4854,Casey's General Store #3029 / Armstrong,POINT (-94.483108 43.39274),"307, S 4th Ave",Armstrong
5718,Casey's General Store #1303,POINT (-92.908032 42.051236),111 N. 3rd Avenue,Marshalltown
4975,Walgreens #15647 / Sioux City,POINT (-96.4167 42.511229),1900 Hamilton Blvd,Sioux City
2715,Hy-Vee Food Store / Denison,POINT (-95.352494 42.016757),1426 Broadway,Denison
4749,Walgreens #05239 / Davenport,POINT (-90.600598 41.538253),1660 W Locust St,Davenport
5656,Cody Mart Gas & Liquor,POINT (-90.344264 41.610963),1220 N Cody Rd,Le Claire
5833,Casey's General Store #1546 / Fremont,POINT (-92.435338 41.212606),203 E Main St,Fremont
5679,goPuff / Ames,POINT (-93.581305 42.016041),615 S Dayton Ave,Ames
5630,Casey's General Store #3009 / Sioux City,POINT (-96.351303 42.479182),4301 Stone Ave,Sioux City
2685,Hy-Vee -Garner,POINT (-93.604203 43.10585),255 West US HWY 18,Garner
5455,Super Mart,POINT (-91.913481 42.669128),701 S Frederick Ave,Oelwein
5294,Yesway Store # 10022/ Waterloo,POINT (-92.314939 42.495308),1976 Franklin St,Waterloo
4692,Walgreens #05886 / Keokuk,POINT (-91.389502 40.40168),1215 Main St,Keokuk
5261,GM Mini Mart,POINT (-91.071582 41.422928),"2307, Lucas Street",Muscatine
6023,Valley West Corner Store / WDM,POINT (-93.751964 41.594084),1400 Valley West Dr,West Des Moines
4962,Hilltop Grocery,,1312 Harrison St,Davenport
5770,Casey's General Store #2427 / Waterloo,POINT (-92.337524 42.542919),3035 Logan Ave,Waterloo
5291,JumpStart,POINT (-95.92895200000001 41.285058),"109, Locust St",Carter Lake
5878,Hometown Foods - Hubbard,POINT (-93.298266 42.305556),210 E Maple St,Hubbard
2676,Hy-Vee Gas / Indianola,POINT (-93.558417 41.36897),912 N Jefferson Way,Indianola
5595,Git-N-Go #47 / Altoona,POINT (-93.464905 41.64404),101 8th St W,Altoona
5847,Moti's Food,POINT (-90.601884 41.522305),1717 West 3rd Street,Davenport
5310,Crossroads of Algona,POINT (-94.238912 43.082796),107 Hwy 18 W,Algona
5968,Casey's General Store #1496 / Red Oak,POINT (-95.23275 41.006837),201 N. Broadway St,Red Oak
5794,Casey's General Store #1922 / Walcott,POINT (-90.774559 41.59208),780 N Main St,Walcott
6001,Casey's General Store #1131 / Dysart,,201 Hwy 21,Dysart
5943,1st Ave BP / Cedar Rapids,,1581 1st Ave,Cedar Rapids
5991,Casey's General Store #1827 / Knoxville,,1007 N. Lincoln,Knoxville
5098,Best Food Mart 3  LLC,,1621 University Ave,Des Moines
5056,Council Bluffs Sinclair,POINT (-95.881702 41.273813),"1305, N 25th St",Council Bluffs
2699,Hy-Vee C-Store #2 - Ankeny,POINT (-93.623583 41.703234),1710 SW ORALABOR ROAD,Ankeny
4380,Kum & Go #254 / West Branch,POINT (-91.346676 41.668271),620 S Downey St,West Branch
5563,Casey's General Store #3082 / Carroll,,510 E Hwy 30,Carroll
4411,Kum & Go #1202 / Waukee,POINT (-94.012641 41.538192),1203 Guthrie St,De Soto
5853,R & R Town Mart / Rudd,POINT (-92.90535 43.128195000000005),522 Chickasaw St,Rudd
5959,Your Private Bar / Urbandale,POINT (-93.760607 41.622517),3040 104th St  STE 3056,Urbandale
6019,Casey's General Store #3888 / Ankeny,POINT (-93.581597 41.731869),1024 E 1st St,Ankeny
5977,Casey's General Store #2305 / Belmond,POINT (-93.616852 42.84381100000001),303 River Ave S,Belmond
5540,Casey's General Store #2447 / Sergeant Bluff,POINT (-96.352258 42.398573),111 Gaul Dr,Sergeant Bluff
5976,Casey's General Store #2422 / Creston,POINT (-94.357169 41.071089),403 E. Townline St,Creston
5720,Casey's General Store #1921- Ackley,POINT (-93.055213 42.556729),512 Sherman Avenue,Ackley
5980,Casey's General Store #2527 / Sheldon,POINT (-95.84182700000001 43.186026),1401 Park St,Sheldon
5181,Casey's General Store #3434  /  Denv,,"1101, Jefferson St",Denver
4908,Zapf's Pronto Market,POINT (-91.405293 42.85389),107 1st St SW,Elkader
3825,Shop N Save #2 / E 14th,POINT (-93.600499 41.604893),1372 E 14th St,Des Moines
5993,Casey's General Store #3396 / Sigourney,POINT (-92.205181 41.336873),100 E Jackson St,Sigourney
6028,Casey's General Store - #2686,POINT (-94.144207 42.501297),3327 5th Ave S.,Fort Dodge
4756,Walgreens #03196 / Marshalltown,POINT (-92.911565 42.038119),5 E Anson,Marshalltown
5769,Casey's General Store #2208 / Ottumwa,POINT (-92.433272 41.034863),1603 W 2nd St,Ottumwa
5195,Casey's General Store #3203 / Counci,POINT (-95.811475 41.278661),"1928, Sherwood Dr",Council Bluffs
5804,Casey's General Store #2030 / Clinton,POINT (-90.200693 41.83082),1336 Camanche Ave,Clinton
5506,Casey's General Store #2168 / Davenport,POINT (-90.599933 41.574434),1691 W 53rd St,Davenport
5360,Super Saver Liquor,POINT (-90.599327 41.520231),1610 Rockingham Rd,Davenport
5928,Casey's General Store - #1762,POINT (-94.230221 43.068899),602 E State Street,Algona
4722,Walgreens #09476 / Burlington,POINT (-95.79728 45.009612),201 S Central Ave,Burlington
5525,Hop N Shop / Clinton,POINT (-90.193204 41.838281),716 S 4th St,Clinton
4935,Ali's Liquor,POINT (-92.332774 42.507683),1117 E 4th St,Waterloo
4706,Walgreens #05144 / Clinton,POINT (-90.182002 41.866652),1905 N  2nd St,Clinton
4315,Fareway Stores #554 / Washington,POINT (-91.692985 41.301967),301 North Marion Ave,Washington
5213,Garner One Stop,POINT (-91.429681 40.552204),"2506, 280th  St",Montrose
5998,Wilton Express,POINT (-91.034817 41.589962),1300 Nicolaus Dr,Wilton
6002,Casey's General Store #2597 / Sloan,POINT (-96.222381 42.229186),104 Buckley St,Sloan
6062,Karls Grocery / Edgewood,POINT (-91.401487 42.645390000000006),101 W Madison,Edgewood
5610,Casey's General Store #2690 / Anamosa,POINT (-91.280257 42.108262),500 E Main St,Anamosa
4298,Terry's Food Center,POINT (-92.30769 42.171406),305 Crisman St,Dysart
5791,Casey's General Store #2060 / Pocahontas,POINT (-94.67811 42.732597),605 W Elm Ave,Pocahontas
5379,Yesway Store # 1036/ Kanawha,POINT (-93.793182 42.934461),102 North Main Street,Kanawha
2847,CVS Pharmacy #10032 / Marion,POINT (-91.574654 42.035908),"3499, 7th Ave",Marion
5689,Dyno's #41 / Albert City,POINT (-94.953239 42.777449),5101 230th St,Albert City
4489,Casey's General Store #2763 / Cedar Rapids,POINT (-91.715925 41.979773),641 Edgewood Rd NW,Cedar Rapids
5766,Casey's General Store #2944 / Muscatine,POINT (-91.017088 41.458464),3010 University Dr,Muscatine
5055,Latimer Community Grocery,POINT (-93.368266 42.763103),"110, S  Akir  St",Latimer
5882,Hometown Foods / State Center,POINT (-94.363119 41.691752),120 E Main St,State Center
5895,Rolfe Heartland,POINT (-94.529348 42.812703),600 Broad St,Rolfe
4710,Walgreens #09708 / Dubuque,POINT (-90.71557 42.493304),55 John F Kennedy Rd,Dubuque
5480,Casey's General Store #3385 / Orange City,POINT (-96.049447 42.997508),704 8th St SE,Orange City
5956,BP Fuel / Dubuque,POINT (-90.687255 42.500724),1450 Loras Blvd,Dubuque
5368,Casey's General Store # 2169/ Independence,POINT (-91.903626 42.468618),816 1st St. West,Independence
5696,Casey's #1025 /Kalona,POINT (-91.704226 41.48585),601 East Avenue,Kalona
5398,Casey's General Store # 2272/Colfax,POINT (-93.247274 41.686707),1203 N Walnut,Colfax
4779,Casey's General Store #3782 / Mount Ayr,POINT (-94.223594 40.711113),1305 E SOUTH STREET,Mount Ayr
5851,Casey's General Store #74 - Morning Sun,POINT (-91.254443 41.089418),618 S Church Street,Morning Sun
5996,Casey's General Store #1328 / Estherville,POINT (-94.830351 43.413717),1332 N 9th St,Estherville
5369,"Bormanns Neighborhood Pitstop, LLC",POINT (-90.420558 42.252688),802 S Riverview St,Bellevue
4929,Casey's General Store #1680 / Adel,POINT (-94.018348 41.614408),816 Greene St,Adel
5775,Casey's General Store #1378 / Jesup,POINT (-92.063377 42.469199),1330 6th St,Jesup
6047,Corner Stop / Washington,POINT (-91.691363 41.296451),100 E Madison St,Washington
5672,K & K Food and Gas / Davenport,POINT (-90.612456 41.514587),2365 Rockingham Rd,Davenport
4751,Walgreens #03595 / Davenport,POINT (-90.60138 41.560071),1720 W Kimberly Rd,Davenport
5430,Hiway 20 Liquor & Tobacco,POINT (-93.837409 42.469587),1345 2nd Street South,Webster City
4318,Fareway Stores #841 / Red Oak,,811 Broadway,Red Oak
2853,CVS Pharmacy #10452  /  Ames,POINT (-93.649579 42.022745),2420 Lincoln Way,Ames
4505,Casey's General Store #2816 / Johnston,POINT (-93.706058 41.687924),6417 Northglen Dr,Johnston
5395,Yesway Store #1037/ Grimes,POINT (-93.773947 41.658535),1905 SE 37th Street,Grimes
5836,Casey's General Store #1612 / Mount Pleasant,POINT (-91.557923 40.965906),400 W Washington St,Mount Pleasant
6027,Eddyville Travel Plaza BP,POINT (-92.628288 41.153359),500 S Merino Ave,Eddyville
4210,Sichanh Liquor Store,POINT (-95.189032 42.645707),812 Flindt Dr,Storm Lake
3808,Thriftway,,,
4811,Casey's General Store #1327 / Lovilia,POINT (-92.906673 41.135611),1807 Hwy 5 S,Lovilia
4992,Old 34 Gas & Grill,POINT (-91.549759 40.965097),305 Us 34 Business,Danville
5680,Gasland N 8th St / Burlington,POINT (-91.10544500000002 40.820249),1204 N 8th St,Burlington
5193,Casey's General Store #2518 / Lohrvi,POINT (-94.553651 42.267449),"404, Locust St",Lohrville
5639,Casey's General Store #68 / Alton,POINT (-96.009316 42.989013),1109 3rd Ave,Alton
4515,Casey's General Store #1588 / Dows,POINT (-93.508976 42.655628),2721 Dows Williams Rd,Dows
9031,Lonely Oak Distillery,POINT (-95.479709 41.770879),1833 Elmwood Rd,Earling
6026,Mod / Keokuk,POINT (-91.406348 40.417842),3345 Main St,Keokuk
4491,Casey's General Store #2772 / Cedar Rapids,POINT (-91.619026 41.976807),3349 Mt Vernon Rd SE,Cedar Rapids
5025,Hawkeye Convenience Stores / 1st Ave,,1581 1st Ave SE,Cedar Rapids
5232,Casey's General Store #27  /  Audubo,POINT (-94.934089 41.720076),400 Market St,Audubon
5321,Casey's General Store # 3513/ Belle Plaine,POINT (-92.279383 41.897056),606 13th St,Belle Plaine
4480,Circle K #4706602 / Clinton,POINT (-90.183722 41.861892),1530 North 2nd St,Clinton
5363,Casey's General Store # 2253/ Clive,POINT (-93.755735 41.612058),2070 NW 100th St,Clive
4968,Casey's General Store #3042 / Brooklyn,POINT (-92.445853 41.7301),"106, W 2nd St",Brooklyn
5378,Casey's General Store # 2543/ Albion,POINT (-92.990038 42.110344),201 S Main St.,Albion
4885,SNK Gas & Food LLC,POINT (-90.676817 42.240381),"18820, Bellevue Cascade Rd",Zwingle
4378,KUM & GO #95 / DE SOTO,POINT (-93.887586 41.614927),650 W Hickman Rd,Waukee
4424,CIRCLE K #4706601 / BURLINGTON,POINT (-91.112268 40.80456),1012 Maple St,Burlington
2683,Hy-Vee Fast & Fresh / WDM,POINT (-93.809467 41.563126),425 S Jordan Creek Pkwy,West Des Moines
5023,Hawkeye Convenience Stores / 16th Av,POINT (-91.667665 41.961645),250 16th Ave SW,Cedar Rapids
5659,Casey's General Store #3679 / Storm Lake,,207 E Milwaukee Ave,Storm Lake
5647,Yesway #1169 / Storm Lake,POINT (-95.200761 42.651369),1101 Lake Ave,Storm Lake
6021,Casey's General Store #2315 / Corydon,POINT (-93.318067 40.759185),220 N Washington St,Corydon
2698,Hy-Vee Gas #4 - WDM,POINT (-93.772745 41.559764),665 SOUTH 51ST STREET,West Des Moines
4923,Casey's General Store #2270 / Aurelia,POINT (-95.437639 42.712097),"100, Pearl St",Aurelia
4516,Casey's General Store #1569 / Oakland,POINT (-95.399804 41.30495),205 Brown St,Oakland
4167,"Iowa Street Market, Inc.",POINT (-90.668138 42.504959),1256 Iowa St,Dubuque
4458,QUIK TRIP #568 / JOHNSTON,POINT (-93.69753300000002 41.654161),5169 Merle Hay Rd,Johnston
5761,Casey's General Store #1315 / Arnolds Park,POINT (-95.138445 43.36311),357 Hwy 71 S,Arnolds Park
5744,Casey's General Store #1624 / Washington,POINT (-91.704095 41.296576),1002 W Madison St,Washington
5783,Casey's General Store #2319 / Ft Madison,POINT (-91.36180200000001 40.624094),1428 38th St,Fort Madison
5723,Casey's General Store #2538-Waukee,POINT (-93.872767 41.614862),20 West Hickman Road,Waukee
5801,Casey's General Store -Center Point,POINT (-91.466769 42.168384),4397 N Center Point,Center Point
4338,Randhawa's Travel Center,POINT (-93.100117 41.953843),1659d Marshalltown Blvd,Melbourne
4353,Kum & Go #302 / Clear Lake,,2905 Fourth Ave,Clear Lake
6009,Casey's General Store #1081 / Fontanelle,POINT (-94.564008 41.289607),304 Washington St,Fontanelle
2839,CVS Pharmacy #8659 / Davenport,,1777 Division St,Davenport
5795,Casey's General Store #61 / Wilton,POINT (-91.026185 41.59),624 W 5th St,Wilton
5478,Casey's General Store #3587 / Burlington,POINT (-91.108065 40.828252),1911 Des Moines Ave,Burlington
5505,Liquor Barn II,POINT (-93.21693 42.741728),721 Central Ave W,Hampton
5831,Casey's General Store #1828 / Webster City,POINT (-93.835789 42.469575),1300 2nd St,Webster City
4740,Walgreens #04405 / Council Bluffs,POINT (-95.882665 41.26194),2508 W Broadway,Council Bluffs
5267,The Station,POINT (-94.680443 43.106519),"2320, 15th Street",Fort Dodge
4765,Kwik Stop C-Stores / Dubuque,POINT (-90.69685800000002 42.499518),2335 University Ave,Dubuque
5265,Honey Creek Resort State Park/ Gift,POINT (-92.918723 40.87046),12633 Resort Drive,Moravia
4737,Walgreens #11330 / Storm Lake,POINT (-95.200778 42.647103),800 Lake Ave,Storm Lake
5528,New Star / Waterloo,POINT (-92.367142 42.489119),315 Fletcher Ave,Waterloo
5970,Kum & Go #7701 / Des Moines,POINT (-93.626017 41.586367),319 7th St  STE 101,Des Moines
5585,Casey's General Store #2544 / New London,POINT (-91.406981 40.920303),710 S Pine St,New London
4643,Cubby's Red Oak,POINT (-95.232924 41.027387),"2405, N Broadway St",Red Oak
5154,Lake Park Foods,POINT (-95.321385 43.454741),"201, Market St",Lake Park
5865,Hawkeye Smoke Shop,POINT (-91.578333 41.674444),421 10th Ave STE B,Coralville
5208,Olsen's BP,POINT (-95.015685 41.409214),"110, Locust St",Atlantic
5897,U S Gas,POINT (-93.707052 41.629397),6535  Douglas Ave,Urbandale
5568,Casey's General Store #2478 / New Sharon,POINT (-92.651522 41.468263),205 S Main St,New Sharon
5961,Casey's General Store #63 / Rock Rapids,POINT (-96.175056 43.431854),709 1st Ave,Rock Rapids
5944,Cedar Rapids BP,POINT (-91.725833 41.956133),2330 Wiley Blvd,Cedar Rapids
5988,Casey's General Store #1527 / Grinnell,POINT (-92.727347 41.73523),312 West St,Grinnell
5214,Fas Mart #5148 / Cedar Rapids,POINT (-91.676432 41.956073),550 Wilson Ave SW,Cedar Rapids
2696,Hy-Vee C-Store / SE Army Post,POINT (-93.600993 41.526276),1113 SE Army Post Rd,Des Moines
5282,Yesway Store # 10019/ Mason City,POINT (-93.201061 43.163367),1224 Federal Ave N,Mason City
4749,Walgreens #05239 / Davenport,POINT (-90.600599 41.538253),1660 W Locust St,Davenport
6048,Mod / Fort Madison,POINT (-91.326086 40.630166),1531 Ave H,Fort Madison
5809,Casey's General Store #26 / Perry,POINT (-94.085866 41.838465),2617 Willis Ave,Perry
5797,Casey's General Store #1649 / Waverly,POINT (-92.486805 42.725642),1312 W Bremer Ave,Waverly
5792,Casey's General Store #2672 / Sanborn,POINT (-95.661995 43.186022),510 W 7th St,Sanborn
4755,Walgreens #05941 / Mason City,POINT (-93.220423 43.148333),1251 4th St SW,Mason City
5774,Casey's General Store #3854  / Manchester,,1305 W Commercial St,Manchester
5611,Casey's General Store #2908 / Anamosa,POINT (-91.263728 42.102923),1752 Hwy 64 E,Anamosa
5659,Casey's General Store #3679 / Storm Lake,POINT (-95.198926 42.647494),207 E Milwaukee Ave,Storm Lake
5852,Casey's General Store #2256 - DeWitt,POINT (-90.552433 41.825724),1515 11th Street,DeWitt
4858,Hwy 34 Truckstop,POINT (-91.208324 40.82658),4305 W Mt Pleasant,West Burlington
5942,16th Ave BP / Cedar Rapids,POINT (-91.667665 41.961645),250 16th Ave,Cedar Rapids
5641,Casey's General Store #1729 / Arlington,POINT (-92.875014 42.584014),400 Parriott St,Aplington
5430,Hiway 20 Liquor & Tobacco,,1345 2nd Street South,Webster City
5424,Beer Barn,,19203 Bunge Ave,Council Bluffs
5869,Tobacco Outlet Plus #507 - Urbandale,POINT (-93.711496 41.629416),6941 Douglas Ave,Urbandale
5764,Casey's General Store #1484 / Muscatine,POINT (-91.06325500000001 41.404205),1111 Oregon St,Muscatine
2849,CVS Pharmacy #10162 / Des Moines,POINT (-93.59678 41.557061),3151 SE 14th St,Des Moines
6065,Super Saver Liquor / Davenport,POINT (-90.599327 41.520231),1610 Rockingham Rd,Davenport
5938,Speedee Mart / Avoca,POINT (-95.336983 41.484316),904 N Walnut St,Avoca
5087,Quik-Pik  /  Logan,POINT (-95.79091 41.643053),"107, W  7th St",Logan
5816,Casey's General Store #2916 / Altoona,POINT (-93.508902 41.650014),170 36th Ave SW,Altoona
2686,Hy-Vee Gas - Pleasant Hill,,4910 Maple Drive,Pleasant Hill
2689,Hy-Vee C-Strore - Douglas,POINT (-93.736835 41.629429),8607 Douglas Ave,Urbandale
6060,A to Z Liquor / Cherokee,POINT (-95.55132 42.749013),114 S 2nd St,Cherokee
4950,Benz Distributing,POINT (-91.651424 41.97769),1420 Mt Vernon Rd,Cedar Rapids
