store_number,store_name,store_location,address,city
4785,Casey's General Store #2835 / Avoca,POINT (-95.336353 41.485575),1019 N Chestnut St,Avoca
5453,Casey's General Store # 2817/ Griswold,POINT (-95.136866 41.234674),900 Main St.,Griswold
4519,Casey's General Store #2923 / WDM,POINT (-93.736188 41.59992),1850 22nd St,West Des Moines
5624,Casey's General Store #1065 / Asbury,POINT (-90.758554 42.510488),5505 Asbury Rd,Dubuque
5384,Casey's General Store # 2698/ Perry,POINT (-94.196008 41.595366),1308 1st Street,Perry
4343,Best Food Mart / Des Moines,POINT (-93.600504 41.633983),4028 NE 14th St,Des Moines
4921,Market Express,POINT (-91.739906 41.963888),5340 16th Ave SW,Cedar Rapids
5556,Casey's General Store #2891 / Fort Dodge,POINT (-94.20311 42.48687),235 Ave O,Fort Dodge
4365,Kum & Go #222 / West St Grinnell,POINT (-92.727375 41.745106),1002 West St,Grinnell
5724,Casey's General Store #3772,POINT (-92.867945 40.732046),105 South 18th Street,Centerville
5467,Casey's General Store #95 / Dexter,POINT (-94.22772 41.518101),803 State St,Dexter
5555,Sub Express & Gas,POINT (-90.637353 41.538148),4307 W Locust St,Davenport
2695,Hy-Vee Gas #4 / Des Moines,POINT (-93.644948 41.542207),4701 Fleur Dr,Des Moines
5575,Casey's General Store #2919 / Marion,POINT (-91.613561 42.030005),340 Marion Blvd,Marion
5567,Kum & Go #504 / Iowa City,POINT (-91.532001 41.646137),1310 S Gilbert St,Iowa City
4890,Casey's General Store #3210 / Urbandale,,4400 128th St,Urbandale
5748,Casey's General Store #1887 / Cedar Falls,POINT (-92.456003 42.558409),2425 Center St,Cedar Falls
5661,Uptown Liquor & Tobacco / Cedar Rapids,POINT (-91.725777 41.959614),2000 Wiley Blvd SW STE 106,Cedar Rapids
5603,Casey's General Store #2480 / Charles City,POINT (-92.673217 43.066759),1105 Blunt Pkwy,Charles City
4664,Casey's General Store #24 / Boone,POINT (-93.88006800000001 42.067645),1127 Story,Boone
5392,Casey's General Store # 1861/ Bondurant,POINT (-93.46332300000002 41.688624),1455 Grant Street South,Bondurant
2690,Hy-Vee Fast & Fresh - Knoxville,POINT (-93.109494 41.325392),809 North Lincoln Street,Knoxville
5233,Casey's General Store #2640 / Pleasa,POINT (-93.279175 41.392695),1006 W Pleasant St,Pleasantville
5280,Yesway Store # 10011/ Mason City,POINT (-93.201072 43.133204),1920 Federal Ave S,Mason City
4279,Keota Eagle Foods,POINT (-91.952725 41.363958),217 E Broadway,Keota
5913,Casey's General Store #1427 / Clear Lake,POINT (-93.360505 43.145936),6 Plaza Dr,Clear Lake
5930,East Post Rd BP,POINT (-91.598254 42.02018),1010 East Post Rd,Marion
5375,Casey's General Store # 3518/ Des Moines,POINT (-93.641742 41.526539),1907 Army Post Rd,Des Moines
4761,Walgreens #03590 / Waterloo,POINT (-92.402918 42.505004),3910 University Ave,Waterloo
4438,Kum & Go #214  Ames,POINT (-93.610396 42.023592),111 Duff Ave,Ames
4790,Mediapolis Fast Break,POINT (-91.170025 41.007416),"109, Wapello St",Mediapolis
2688,Hy-Vee C-Store - East Hickman,POINT (-93.854272 41.61506),1025 East Hickman,Waukee
4647,B and B EAST / Waterloo,POINT (-92.293057 42.49807),1615 Bishop Ave,Waterloo
5772,Casey's General Store #1062 / Winterset,POINT (-94.020703 41.330237),527 W Summit St,Winterset
4170,Dewey's Jack and Jill,POINT (-91.343394 41.671391),115 E Main St  Po Box 359,West Branch
